text,category,macro
"The coframe (teleparallel) description of gravity is known as a viable
alternative to GR. One of advantages of this model is the existence of a
conserved energy-momentum current witch is covariant under all symmetries of
the three-parameter Lagrangian. In this paper we study the relation between the
covector valued current and the energy-momentum tensor. Algebraic properties of
the conserved current for different values of parameters are derived. It is
shown that the tensor corresponding to the coframe current is traceless and, in
contrast to the electromagnetic field, has in general a non vanishing
antisymmetric part. The symmetric part is also non zero for all values of the
parameters. Consequently, the conserved current involves the energy-momentum as
well as the rotational (spin) properties of the field.",gr-qc,physics
"Among the methods proposed to detect extrasolar planets, microlensing is the
only technique that can detect free-floating planets. Free-floating planets are
detected through the channel of short-duration isolated lensing events.
However, if a seemingly isolated planetary event is detected, it is difficult
to firmly conclude that the event is caused by a free-floating planet because a
wide-separation planet can also produce an isolated event. There were several
methods proposed to break the degeneracy between the isolated planetary events
produced by the free-floating and wide-separation planets, but they are
incomplete. In this paper, we show that free-floating planets can be securely
identified by conducting astrometric follow-up observations of isolated events
to be detected in future photometric lensing surveys by using high-precision
interferometers to be operated contemporarily with the photometric surveys. The
method is based on the fact that astrometric lensing effect covers much longer
range of the lens-source separation than the photometric effect. We demonstrate
that several astrometric follow-up observations of isolated planetary events
associated with source stars brighter than $V\sim 19$ by using the {\it Space
Interferometry Mission} with an exposure time of $\lesssim 10 {\rm min}$ for
each observation will make it possible to measure the centroid shift induced by
primaries with projected separations up to $\sim 100 {\rm AU}$. Therefore, the
proposed method is far more complete than previously proposed methods that are
flawed by the limited applicability only to planets with projected separations
$\lesssim 20 {\rm AU}$ or planets accompanied by bright primaries.",astro-ph,physics
"We analyze the superstring propagating on a Calabi-Yau threefold. This theory
naturally leads to the consideration of Witten's topological non-linear
sigma-model and the structure of rational curves on the Calabi-Yau manifold. We
study in detail the case of the world-sheet of the string being mapped to a
multiple cover of an isolated rational curve and we show that a natural
compactification of the moduli space of such a multiple cover leads to a
formula in agreement with a conjecture by Candelas, de la Ossa, Green and
Parkes.",hep-th,physics
"The Jiangmen Underground Neutrino Observatory (JUNO) is a large and high
precision liquid scintillator detector under construction in the south of
China. With its 20 kt target mass, it aims to achieve an unprecedented 3%
energy resolution at 1 MeV. Its main goal is to study the disappearance of
reactor antineutrino to determine the neutrino mass ordering, and to precisely
measure the mixing parameters $\theta_{12}$, $\Delta m^2_{12}$, and $\Delta m
^2_{ee}$. It also aims to detect neutrinos emitted from radioactive processes
taking place within the inner layers of the Earth (geoneutrinos), as well as
neutrinos produced during rare supernova bursts. Neutrinos emitted in solar
nuclear reactions could also be observed, if stringent radiopurity requirements
on the scintillator are met. This manuscript provides some highlights of JUNO's
Physics Programme, and describes the detector design, as well as the ongoing
detector R&D.",physics.ins-det,physics
"Interference enhanced wide-field nanoparticle imaging is a highly sensitive
technique that has found numerous applications in labeled and label-free
sub-diffraction-limited pathogen detection. It also provides unique
opportunities for nanoparticle classification upon detection. More specif-
ically, the nanoparticle defocus images result in a particle-specific response
that can be of great utility for nanoparticle classification, particularly
based on type and size. In this work, we com- bine a model based supervised
learning algorithm with a wide-field common-path interferometric microscopy
method to achieve accurate nanoparticle classification. We verify our
classification schemes experimentally by using gold and polystyrene
nanospheres.",physics.comp-ph,physics
"We present results from new calculations of the X-ray reflection spectrum
from ionized accretion discs. These computations improve on our previous models
by including the condition of hydrostatic balance in the vertical direction,
following the work of Nayakshin, Kazanas & Kallman. We find that an ionized Fe
K$\alpha$ line is prominent in the reflection spectra for a wide variety of
physical conditions. The results hold for both gas and radiation pressure
dominated discs and when the metal abundances have been varied.",astro-ph,physics
"We present a new numerical scheme to solve the initial value problem for
black hole-neutron star binaries. This method takes advantage of the
flexibility and fast convergence of a multidomain spectral representation of
the initial data to construct high-accuracy solutions at a relatively low
computational cost. We provide convergence tests of the method for both
isolated neutron stars and irrotational binaries. In the second case, we show
that we can resolve the small inconsistencies that are part of the
quasi-equilibrium formulation, and that these inconsistencies are significantly
smaller than observed in previous works. The possibility of generating a wide
variety of initial data is also demonstrated through two new configurations
inspired by results from binary black holes. First, we show that choosing a
modified Kerr-Schild conformal metric instead of a flat conformal metric allows
for the construction of quasi-equilibrium binaries with a spinning black hole.
Second, we construct binaries in low-eccentricity orbits, which are a better
approximation to astrophysical binaries than quasi-equilibrium systems.",gr-qc astro-ph,physics
"Elliptical galaxies have dynamically hot ($\sigma_{1D}$ ~ 100 -- 300 km
s$^{-1}$) populations of stars, and presumably, smaller objects like comets.
Because interstellar minor bodies are moving much faster, they hit planets
harder and more often than in the local Galaxy. I estimate the rates for
Chicxulub-scale impacts on an Earth-size planet in elliptical galaxies as a
potential habitability constraint on intelligent life. Around most stars in a
normal elliptical galaxy, these planets receive only ~0.01 -- 0.1 Gyr$^{-1}$,
although hazardous rates may be common in certain compact early-type galaxies
and red nuggets. About 5% of the stellar mass is in a region where the rate is
>10 Gyr$^{-1}$, large enough to dominate the mass extinction rate. This
suggests that elliptical galaxies have an exclusion zone of order one hundred
parsecs in radius around their centers for the evolution of intelligent life.",astro-ph.EP astro-ph.GA,physics
"In traditional thermodynamics, temperature is a local quantity: a subsystem
of a large thermal system is in a thermal state at the same temperature as the
original system. For strongly interacting systems, however, the locality of
temperature breaks down. We study the possibility of associating an effective
thermal state to subsystems of infinite chains of interacting spin particles of
arbitrary finite dimension. We study the effect of correlations and criticality
in the definition of this effective thermal state and discuss the possible
implications for the classical simulation of thermal quantum systems.",cond-mat.stat-mech quant-ph,physics
"At present, analytical lab-on-chip devices find their usage in different
facets of chemical analysis, biological analysis, point of care analysis,
biosensors, etc. In addition, graphene has already established itself as an
essential component of advanced lab-on-chip devices. Graphene-based lab-on-chip
devices have achieved appreciable admiration because of their peerless
performance in comparison to others. However, to accomplish a sustainable
future a device must undergo Green-Screening to check its environmental
compatibility. Thus, extensive research is carried out globally to make the
graphene-based lab-on-chip green, though it is yet to be achieved.
Nevertheless, as a ray of hope, there are few existing strategies that can be
stitched together for feasible fabrication of environment-friendly green
graphene-based analytical lab-on-chip, and those prospective pathways are
reviewed in this paper.",physics.app-ph cond-mat.mtrl-sci,physics
"Our goal is to constrain models of active region formation by tracking the
average motion of active region polarity pairs as they emerge onto the surface.
We measured the motion of the two main opposite polarities in 153 emerging
active regions (EARs) using line-of-sight magnetic field observations from the
Solar Dynamics Observatory Helioseismic Emerging Active Region (SDO/HEAR)
survey (Schunker et al. 2016). We first measured the position of each of the
polarities eight hours after emergence and tracked their location forwards and
backwards in time. We find that, on average, the polarities emerge with an
east-west orientation and the separation speed between the polarities
increases. At about 0.1 days after emergence, the average separation speed
reaches a peak value of 229 +/- 11 m/s, and then starts to decrease, and about
2.5 days after emergence the polarities stop separating. We also find that the
separation and the separation speed in the east-west direction are
systematically larger for active regions with higher flux. Our results reveal
two phases of the emergence process defined by the rate of change of the
separation speed as the polarities move apart. Phase 1 begins when the opposite
polarity pairs first appear at the surface, with an east-west alignment and an
increasing separation speed. We define Phase 2 to begin when the separation
speed starts to decrease, and ends when the polarities have stopped separating.
This is consistent with the picture of Chen, Rempel, & Fan (2017): the peak of
a flux tube breaks through the surface during Phase 1. During Phase 2 the
magnetic field lines are straightened by magnetic tension, so that the
polarities continue to move apart, until they eventually lie directly above
their anchored subsurface footpoints.",astro-ph.SR,physics
